#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (Db),Tom,Compasso,Adicionado em,Spotify Track Id,Camelot,ISRC,Explícito
1,vampire,Olivia Rodrigo,87,137,pop,GUTS,2023-09-08,03:39,219,48,53,15,0,32,0,20,-6,F Major,4,2026-07-16,1kuGVB7EU95pJObxwvfwKS,7B,USUG12304091,yes
2,A&W,Lana Del Rey,68,157,pop,Did you know that there's a tunnel under Ocean Blvd,2023-03-24,07:13,433,43,24,63,39,14,10,10,-15,A#/B♭ Major,4,2026-07-16,5nW4z3pfZgJAJ2QTCz9AIE,6B,GBUM72206757,yes
3,Dancing Circles,Sampha,48,106,"indie soul, pop",Lahai,2023-10-20,03:53,233,88,33,80,0,53,0,0,-12,G Minor,3,2026-07-16,6lNyT8TfnpMTRrmJRQKQC9,6A,UK7MC2200179,no
4,Boy's a liar Pt. 2,"PinkPantheress,Ice Spice",76,133,"bedroom pop, pop",Heaven knows,2023-11-10,02:11,131,70,81,25,0,86,0,20,-8,F Major,4,2026-07-16,5CCr8msaN3MhgqBoa9yWhH,7B,GBAYE2300015,yes
5,Moonlight,Kali Uchis,82,137,pop,Red Moon In Venus,2023-03-03,03:07,187,64,71,52,0,86,0,20,-7,G Minor,4,2026-07-16,0JmnkIqdlnUzPaf8sqBRs3,6A,USUM72219486,no
6,Flowers,Miley Cyrus,89,118,pop,Endless Summer Vacation,2023-08-18,03:20,200,71,69,6,0,63,0,0,-5,C Major,4,2026-07-16,7DSAEUvxU8FajXtRloy8M0,8B,USSM12209777,no
7,"Be Who You Are (feat. JID, NewJeans & Camilo)","Jon Batiste,JID,NewJeans,Camilo",37,144,"k-pop, pop colombiano, pop urbano",World Music Radio,2023-08-18,03:34,214,64,90,2,0,72,10,20,-4,D Major,4,2026-07-16,0E8VaGhwaOnUw7LAxYMMCo,10B,USUG12305178,no
8,Always,Daniel Caesar,85,136,pop,NEVER ENOUGH,2023-04-07,03:45,225,58,44,67,0,20,0,10,-8,D Major,4,2026-07-16,2LlOeW5rVcvl3QcPNPcDus,10B,USUG12209355,yes
9,HOT TO GO!,Chappell Roan,77,140,pop,The Rise and Fall of a Midwest Princess,2023-09-22,03:04,184,74,76,2,0,96,0,30,-5,F#/G♭ Major,4,2026-07-16,4xdBrk0nFZaP54vvZj0yx7,2B,USUG12305911,no
10,On My Mama,Victoria Monét,67,77,"r&b alternativo, pop",JAGUAR II,2023-08-25,03:04,184,68,55,56,0,61,0,10,-8,E Minor,4,2026-07-16,7DswEZZthZ6piQpL25qGAM,9A,USRC12204025,yes
